,Nombre,Edad,Notas_Matematicas,Notas_Ingles,Notas_Computacion
2532,Madison Bennett,20.0,71,54.0,43.0
2533,Tanner Sanford,22.0,54,64.0,97.0
2534,Leroy Lambert,22.0,91,78.0,39.0
2535,Erica Bryant,22.0,37,42.0,36.0
2536,James Meyers,21.0,46,34.0,71.0
2537,Vincent Smith,20.0,52,90.0,55.0
2538,Joseph Lopez,20.0,48,30.0,66.0
2539,Debra Whitaker,21.0,96,78.0,55.0
2540,Jimmy Miller,24.0,84,92.0,44.0
2541,Scott Hicks,19.0,48,88.0,90.0
2542,Jeffrey Wheeler,20.0,38,78.0,47.0
2543,Jordan Mcdaniel,21.0,55,42.0,75.0
2544,Nichole Phillips,23.0,46,94.0,88.0
2545,Regina Barrett,25.0,66,70.0,79.0
2546,Terry Gonzales,23.0,88,38.0,91.0
2547,Sharon Garcia,22.0,43,43.0,57.0
2548,Shawn Jimenez,18.0,45,45.0,65.0
2549,Kayla Martin,25.0,35,79.0,57.0
2550,Mrs. Chelsea Hernandez MD,23.0,89,80.0,45.0
2551,Sean Shelton,25.0,60,48.0,33.0
2552,Shannon Williams,19.0,94,67.0,89.0
2553,Miguel Jones,20.0,69,33.0,93.0
2554,Karen Bell,25.0,42,86.0,74.0
2555,Cynthia Thomas,22.0,82,45.0,30.0
2556,Laura Phillips,22.0,44,60.0,44.0
2557,Michael Moore,24.0,46,46.0,92.0
2558,Victoria Walsh,18.0,36,45.0,39.0
2559,Erik Bryant,23.0,91,94.0,31.0
2560,Allen Schneider,18.0,74,83.0,42.0
2561,Eric Moss,19.0,82,98.0,56.0
2562,Jeffrey Miller,25.0,61,95.0,50.0
2563,Jason Martinez,25.0,70,42.0,99.0
2564,Brandi Barton,25.0,87,57.0,76.0
2565,Ralph Moore,23.0,57,62.0,46.0
2566,Michele Cannon,23.0,78,32.0,94.0
2567,Kevin Pearson,20.0,38,35.0,65.0
2568,Cameron Mccall,22.0,98,39.0,47.0
2569,Daniel Baker,22.0,50,68.0,62.0
2570,Yolanda Robinson,23.0,64,53.0,40.0
2571,Melissa Johnson,25.0,89,34.0,42.0
2572,Rita Haynes,20.0,54,90.0,42.0
2573,Catherine Perry,18.0,98,97.0,84.0
2574,Matthew White,25.0,88,99.0,81.0
2575,Mary Fields,21.0,72,73.0,32.0
2576,Lynn Brown,18.0,38,45.0,98.0
2577,Jamie Collins,25.0,66,85.0,41.0
2578,Olivia Griffin,23.0,65,39.0,45.0
2579,Thomas Brown,18.0,38,68.0,61.0
2580,Hunter Orozco,23.0,74,49.0,94.0
2581,Jasmine Munoz,20.0,95,40.0,30.0
2582,Elizabeth Douglas,19.0,59,89.0,56.0
2583,Erin Wilson,23.0,99,43.0,59.0
2584,Chad Aguirre,19.0,75,34.0,77.0
2585,Samantha Watts,22.0,94,99.0,48.0
2586,Barbara Guerrero,20.0,68,39.0,77.0
2587,Christina Zamora,22.0,40,73.0,98.0
2588,Emma Hudson,24.0,34,84.0,31.0
2589,Dennis Gibson,24.0,36,49.0,89.0
2590,Scott Martin,18.0,35,37.0,99.0
2591,Jenna Martinez,18.0,89,42.0,73.0
2592,Adam Brady,19.0,88,61.0,80.0
2593,Jason Palmer,22.0,80,87.0,43.0
2594,Jessica Gonzalez,18.0,57,42.0,58.0
2595,Amber Jackson,18.0,94,90.0,48.0
2596,Phillip Combs,25.0,88,84.0,93.0
2597,Bobby Stanley,20.0,90,43.0,39.0
2598,Sean Smith,19.0,40,37.0,73.0
2599,Ana Gray,20.0,78,56.0,100.0
2600,Mary Eaton,21.0,87,79.0,49.0
2601,Daniel Baker,25.0,53,78.0,51.0
2602,Cody Hunter,21.0,39,98.0,55.0
2603,Mary Robertson,22.0,96,44.0,53.0
2604,Jillian Chambers,24.0,37,90.0,86.0
2605,Sierra Hood,22.0,75,60.0,52.0
2606,William Young,20.0,35,42.0,85.0
2607,Vanessa Stone,21.0,39,89.0,81.0
2608,Troy Morris,19.0,31,57.0,70.0
2609,Michael Lopez,22.0,64,39.0,51.0
2610,Willie Patterson,19.0,54,68.0,36.0
2611,Tammie Rivera,24.0,90,77.0,94.0
2612,Matthew Flores,20.0,82,69.0,87.0
2613,Wanda Cole PhD,25.0,38,69.0,82.0
2614,Jennifer Jordan,23.0,43,94.0,42.0
2615,Daniel Downs,20.0,32,41.0,68.0
2616,Aaron Newman,24.0,88,50.0,67.0
2617,Madison Mccann,23.0,73,31.0,51.0
2618,Mr. Douglas Silva,21.0,44,62.0,52.0
2619,Ann Smith,24.0,50,58.0,74.0
2620,Mr. Billy Stafford,25.0,45,82.0,98.0
2621,Lori Jones,24.0,86,33.0,95.0
2622,Lisa Haney,19.0,100,49.0,88.0
2623,Samantha Clark,25.0,39,40.0,49.0
2624,Alexandra Thompson,24.0,54,68.0,31.0
2625,Patrick Snyder,23.0,77,80.0,60.0
2626,Jason Weaver,24.0,35,31.0,86.0
2627,Nicole Hartman,23.0,47,34.0,93.0
2628,Amanda Washington,23.0,90,57.0,56.0
2629,Daniel Salinas,21.0,94,78.0,54.0
2630,Kyle Mccormick,20.0,58,37.0,47.0
2631,David Berg,25.0,50,78.0,42.0
2632,Stephanie Davis,19.0,66,32.0,43.0
2633,Tracy Stewart,21.0,96,94.0,80.0
2634,Jennifer Barrera,23.0,91,74.0,76.0
2635,Luis Vega,23.0,38,70.0,44.0
2636,Amanda Perry,18.0,42,75.0,49.0
2637,Carrie Baker,18.0,39,44.0,88.0
2638,Angela Ramos,18.0,47,82.0,71.0
2639,Hannah Johnson,18.0,78,87.0,74.0
2640,Patrick Anderson,24.0,90,66.0,70.0
2641,Carol Bailey MD,23.0,82,69.0,55.0
2642,Mikayla Carlson,22.0,56,58.0,70.0
2643,Sandra Howe MD,18.0,56,32.0,100.0
2644,Samuel Wood,21.0,56,42.0,70.0
2645,Joseph Baker,21.0,89,51.0,59.0
2646,Sydney Bowman,21.0,45,97.0,49.0
2647,Maria Gonzalez,22.0,78,43.0,62.0
2648,Matthew Johnson,24.0,51,88.0,49.0
2649,Miss Amy Miller MD,20.0,34,62.0,90.0
2650,Gary Reyes,24.0,81,74.0,55.0
2651,Charles Adams,25.0,62,30.0,96.0
2652,Kaitlyn Kennedy,22.0,46,93.0,44.0
2653,Mark Harris,18.0,47,84.0,84.0
2654,Alan Williams,22.0,44,69.0,71.0
2655,Christina Yu,21.0,64,77.0,34.0
2656,Brian Martin,23.0,66,31.0,65.0
2657,Cynthia Herring,18.0,53,41.0,31.0
2658,April Chambers,21.0,59,97.0,59.0
2659,Nicholas Anderson,19.0,41,97.0,91.0
2660,Jason Hill,25.0,53,45.0,71.0
2661,Willie Evans,22.0,61,66.0,95.0
2662,Rachel Turner,24.0,38,33.0,60.0
2663,David Miller,25.0,57,98.0,31.0
2664,Daniel Jones,23.0,67,79.0,38.0
2665,Alexis Townsend,23.0,84,37.0,72.0
2666,Stephanie Peters,24.0,89,95.0,50.0
2667,Danielle Reed,20.0,34,66.0,85.0
2668,Jason Bell,25.0,89,43.0,48.0
2669,Julia Wilson,20.0,98,43.0,67.0
2670,Michael Love,20.0,53,84.0,79.0
2671,Jessica Miller,22.0,54,98.0,97.0
2672,Andrew King,22.0,45,49.0,69.0
2673,Robert Taylor,19.0,53,66.0,87.0
2674,Tony Molina,21.0,40,96.0,51.0
2675,Kevin Reyes,23.0,40,30.0,81.0
2676,Robert Santiago,22.0,73,97.0,80.0
2677,Karen Carr,22.0,40,38.0,36.0
2678,Taylor Berger,21.0,89,77.0,58.0
2679,Sarah West,19.0,38,72.0,37.0
2680,John Silva,24.0,75,97.0,86.0
2681,James Weaver,22.0,51,33.0,35.0
2682,Lindsay Burns,21.0,83,38.0,39.0
2683,Carl Daniels,25.0,89,48.0,79.0
2684,Barbara Alvarez,21.0,77,55.0,73.0
2685,John Thompson,22.0,53,51.0,40.0
2686,Melissa Moody,20.0,50,50.0,77.0
2687,Gina Pearson,23.0,96,40.0,31.0
2688,Lisa Martinez,18.0,72,43.0,65.0
2689,Maria Bradley,25.0,40,70.0,83.0
2690,Natalie Johnson,23.0,64,52.0,64.0
2691,James Copeland,22.0,77,35.0,50.0
2692,Christian Lee,22.0,79,47.0,72.0
2693,Daniel Snyder,19.0,37,91.0,57.0
2694,Danielle Harper,25.0,94,34.0,67.0
2695,Evelyn Warren,18.0,61,86.0,67.0
2696,Christopher Johnson,22.0,32,33.0,88.0
2697,Alison Miller,21.0,36,92.0,55.0
2698,William Terrell,19.0,58,61.0,60.0
2699,Kyle Larson,22.0,96,64.0,63.0
2700,Victoria Odonnell,21.0,52,60.0,94.0
2701,Thomas Adams Jr.,18.0,50,66.0,92.0
2702,Lisa Wilson,20.0,94,81.0,73.0
2703,Alex Willis,18.0,92,100.0,78.0
2704,Elizabeth Hunter,23.0,52,50.0,36.0
2705,Christian Lester DVM,24.0,96,58.0,33.0
2706,Audrey King,19.0,72,66.0,100.0
2707,Angie Porter,24.0,65,89.0,82.0
2708,James White,24.0,95,42.0,99.0
2709,Theresa Simpson,25.0,56,43.0,42.0
2710,Catherine Horn,22.0,87,35.0,95.0
2711,Sarah Crosby,20.0,93,62.0,85.0
2712,Steven Bradley,21.0,31,43.0,76.0
2713,Daniel Russell II,21.0,82,83.0,62.0
2714,Douglas Scott,24.0,95,38.0,38.0
2715,Nathan Baxter,24.0,49,30.0,74.0
2716,Stacy Thompson,20.0,99,62.0,74.0
2717,Michael Russell,25.0,75,83.0,81.0
2718,Max Hubbard,20.0,32,59.0,85.0
2719,Michele Butler,22.0,44,91.0,71.0
2720,Jose Burke,25.0,42,76.0,57.0
2721,Thomas Adkins,24.0,47,100.0,53.0
2722,Jason Smith,21.0,73,41.0,34.0
2723,Aaron Mann,23.0,34,79.0,74.0
2724,John Richards Jr.,24.0,41,34.0,57.0
2725,Christina Jordan,23.0,90,49.0,32.0
2726,Justin Nguyen,24.0,53,52.0,93.0
2727,James Clements,21.0,36,93.0,61.0
2728,Lisa Nicholson,20.0,73,75.0,98.0
2729,Patrick Bond,19.0,41,68.0,62.0
2730,Kathryn Owens,20.0,62,58.0,59.0
2731,Mary Murphy,25.0,42,55.0,95.0
2732,Charlotte Jordan,25.0,58,53.0,78.0
2733,Melissa Fuller,20.0,80,54.0,72.0
2734,Jose Dunn,21.0,50,49.0,87.0
2735,Kaitlyn Martinez,24.0,89,33.0,66.0
2736,Jessica Vasquez,20.0,65,67.0,63.0
2737,Kyle Anderson,22.0,98,91.0,89.0
2738,Brandi Reed,21.0,91,46.0,36.0
2739,Adriana Clark,20.0,62,62.0,76.0
2740,Pamela Wheeler,19.0,68,58.0,35.0
2741,Vicki Peterson,21.0,33,35.0,81.0
2742,Kelly Rodriguez,21.0,45,75.0,61.0
2743,Alexander Fletcher,18.0,47,39.0,81.0
2744,Courtney Hughes,19.0,67,92.0,65.0
2745,Kristin Leonard,19.0,62,46.0,69.0
2746,Marcus Burch,23.0,44,76.0,45.0
2747,Joseph Davila,23.0,59,77.0,64.0
2748,Anna Parsons,23.0,41,78.0,80.0
2749,Richard Wheeler,22.0,59,51.0,87.0
2750,Charles Turner,20.0,31,80.0,63.0
2751,Nichole Collins,23.0,61,57.0,100.0
2752,James Bernard,24.0,70,69.0,71.0
2753,Lawrence Dixon,18.0,97,96.0,48.0
2754,Christopher Ware,22.0,56,97.0,87.0
2755,Matthew Anderson,24.0,66,42.0,67.0
2756,Daryl Allen,19.0,89,62.0,56.0
2757,Brian Anderson,20.0,96,66.0,93.0
2758,Joseph Hughes,25.0,66,35.0,83.0
2759,Richard Johnson,20.0,88,51.0,51.0
2760,Sandra Taylor,24.0,42,84.0,95.0
2761,Denise Anderson,25.0,36,45.0,68.0
2762,Nicole Crosby,21.0,43,41.0,50.0
2763,Daniel Johnson,24.0,64,92.0,86.0
2764,Meredith Snyder,19.0,94,92.0,85.0
2765,Jamie Jefferson,25.0,86,38.0,42.0
2766,Timothy Robinson,23.0,94,60.0,40.0
2767,Suzanne Lynn,22.0,62,88.0,80.0
2768,Kelly Jackson,19.0,57,87.0,84.0
2769,Veronica Webster,23.0,62,86.0,40.0
2770,Terri Calderon,21.0,67,79.0,72.0
2771,Antonio Wagner,19.0,73,32.0,88.0
2772,Katherine Kelley,24.0,78,65.0,69.0
2773,Cynthia Potter,25.0,71,41.0,89.0
2774,Elizabeth Shepard,19.0,84,35.0,63.0
2775,Haley Suarez,24.0,32,54.0,83.0
2776,Andrew Manning,22.0,31,36.0,47.0
2777,Eric Campos,23.0,45,39.0,44.0
2778,Dakota Parker,21.0,83,33.0,32.0
2779,Benjamin Wood,21.0,52,78.0,63.0
2780,Harold Ramirez,20.0,94,60.0,89.0
2781,Jessica Smith,19.0,51,66.0,38.0
2782,Ann Palmer,18.0,94,71.0,73.0
2783,Brianna Henderson,23.0,39,54.0,97.0
2784,Diane Hamilton,23.0,87,80.0,55.0
2785,Jose Pena,18.0,75,57.0,77.0
2786,Jasmine Gomez,20.0,78,90.0,77.0
2787,Kari Pollard,18.0,83,63.0,47.0
2788,Karen Simmons,21.0,76,79.0,88.0
2789,Lauren Peterson,20.0,80,35.0,37.0
2790,Kelly Mcconnell,21.0,70,68.0,56.0
2791,James York,18.0,77,85.0,85.0
2792,Kayla Cole,25.0,40,39.0,56.0
2793,Daniel Caldwell,18.0,91,84.0,42.0
2794,Kenneth Gilbert,22.0,49,37.0,87.0
2795,Matthew Porter,25.0,91,71.0,40.0
2796,Christopher Thomas,24.0,90,92.0,81.0
2797,Stephanie Daniels,25.0,68,76.0,97.0
2798,Adam Ramirez,20.0,64,61.0,49.0
2799,Brenda Waters,20.0,59,36.0,61.0
2800,Gina Young,18.0,36,47.0,70.0
2801,Marie Evans,21.0,53,81.0,34.0
2802,Kevin Lopez,23.0,41,64.0,55.0
2803,Diana Turner,21.0,90,54.0,51.0
2804,Joshua Burton,22.0,46,100.0,92.0
2805,Heather Campbell,25.0,78,75.0,80.0
2806,Katherine Mejia,23.0,63,36.0,50.0
2807,David Larsen,20.0,49,48.0,64.0
2808,Stacy Watson,22.0,89,92.0,94.0
2809,Beverly Bridges,23.0,40,59.0,67.0
2810,Felicia Morris,25.0,91,34.0,48.0
2811,Joshua Johnson,20.0,98,71.0,88.0
2812,Kaitlin King,25.0,34,50.0,83.0
2813,Cameron Aguilar,22.0,71,43.0,60.0
2814,Joshua Carter,21.0,83,97.0,96.0
2815,James Garcia,25.0,37,74.0,75.0
2816,Ryan Garcia,23.0,99,69.0,69.0
2817,Kimberly Cunningham,21.0,63,74.0,91.0
2818,Antonio Dickson,21.0,44,46.0,95.0
2819,Michael Cruz,19.0,58,61.0,36.0
2820,Diane Newton,21.0,46,37.0,64.0
2821,Roberto Mahoney,22.0,99,48.0,85.0
2822,Victoria Mendez,25.0,89,36.0,80.0
2823,David Ellison,24.0,81,61.0,93.0
2824,Joseph Randolph,20.0,60,54.0,77.0
2825,Stephen Brewer,25.0,48,78.0,55.0
2826,Timothy Gill,19.0,57,79.0,96.0
2827,Catherine Cobb,19.0,59,73.0,63.0
2828,Christopher Bennett,20.0,72,77.0,48.0
2829,Carla Swanson,21.0,58,51.0,81.0
2830,Cody Tran,21.0,73,91.0,31.0
2831,Jason Harvey,20.0,92,35.0,87.0
2832,Henry Santiago,25.0,50,65.0,32.0
2833,Jamie Howard,19.0,37,98.0,35.0
2834,Leslie Park,25.0,60,61.0,82.0
2835,Nicholas Hodge,23.0,50,89.0,34.0
2836,Holly Mcpherson,23.0,74,88.0,83.0
2837,Elizabeth Marquez,25.0,40,60.0,35.0
2838,Jennifer Spencer,18.0,62,56.0,78.0
2839,Diana Washington,20.0,44,50.0,61.0
2840,Kayla Thornton,21.0,58,88.0,60.0
2841,Benjamin Wood,22.0,49,32.0,50.0
2842,Leroy Simon,24.0,53,98.0,100.0
2843,Rebecca Rodriguez,20.0,90,45.0,31.0
2844,Kimberly Lewis,19.0,53,75.0,71.0
2845,Mr. Jonathon Ewing,21.0,79,72.0,77.0
2846,Michael Li,23.0,69,71.0,84.0
2847,Joshua Hobbs,19.0,83,98.0,39.0
2848,Isabella Sims,19.0,93,93.0,31.0
2849,Tara Bowers,24.0,78,61.0,47.0
2850,Charles Le,24.0,68,99.0,66.0
2851,Tina Lewis,22.0,69,95.0,91.0
2852,Sarah Gonzalez,23.0,77,97.0,99.0
2853,Melissa Brooks,23.0,46,42.0,76.0
2854,Joseph Miller,23.0,67,81.0,86.0
2855,Robert Mcclain,23.0,76,41.0,67.0
2856,Natasha Adams,24.0,75,60.0,33.0
2857,Alicia Becker,23.0,50,83.0,65.0
2858,Melissa Ware,18.0,84,90.0,83.0
2859,Jennifer Whitney,21.0,80,81.0,48.0
2860,Teresa Galloway,19.0,98,64.0,68.0
2861,Daniel David,18.0,44,34.0,95.0
2862,Eric Hayes,24.0,96,74.0,38.0
2863,Angel Caldwell,23.0,50,80.0,48.0
2864,Tina Smith,20.0,69,90.0,40.0
2865,Laura Jensen,20.0,52,82.0,92.0
2866,Dana Leach,20.0,94,32.0,38.0
2867,Nathan Nelson,20.0,60,78.0,55.0
2868,Dawn Jacobson,23.0,75,97.0,79.0
2869,Noah Simpson,25.0,39,67.0,74.0
2870,Deanna Clark,18.0,73,43.0,74.0
2871,Wayne Jones,20.0,32,49.0,66.0
2872,Barbara Harvey MD,24.0,67,55.0,72.0
2873,Dylan Robinson,18.0,92,67.0,82.0
2874,Joseph Maldonado,23.0,76,68.0,79.0
2875,Courtney Jones,22.0,80,100.0,66.0
2876,Sean Snyder,25.0,47,87.0,63.0
2877,Terry Aguilar,21.0,86,89.0,31.0
2878,Briana Smith,20.0,50,91.0,63.0
2879,Linda Cuevas,24.0,41,80.0,51.0
2880,Bryan Adams,25.0,75,53.0,48.0
2881,Stacy Jackson,23.0,41,34.0,49.0
2882,Felicia Bautista,25.0,96,99.0,65.0
2883,Cameron Allen,23.0,83,53.0,41.0
2884,William Thompson,20.0,30,78.0,88.0
2885,Deborah Palmer,24.0,66,49.0,39.0
2886,David Hamilton,22.0,39,78.0,59.0
2887,Robert Young,25.0,84,37.0,59.0
2888,Denise Ashley,19.0,30,36.0,89.0
2889,Emily Robbins,19.0,48,42.0,80.0
2890,Jennifer Case,18.0,60,86.0,73.0
2891,Sylvia Austin,21.0,78,93.0,43.0
2892,Eric Smith,24.0,65,76.0,84.0
2893,Benjamin Mckinney,22.0,51,42.0,96.0
2894,Leonard Kelly,25.0,63,97.0,59.0
2895,Sherry Gross,21.0,83,77.0,33.0
2896,Adam Johnson,18.0,53,98.0,45.0
2897,Anne Ramos,22.0,84,80.0,85.0
2898,Mark Holmes,19.0,82,52.0,66.0
2899,Anthony Johnson,20.0,50,82.0,78.0
2900,William Wang,24.0,41,42.0,64.0
2901,Rachel Walker,19.0,94,73.0,93.0
2902,Mary Patel,21.0,55,65.0,41.0
2903,Lucas Jensen,22.0,72,58.0,65.0
2904,Johnny Haley,24.0,36,82.0,83.0
2905,Melinda Thompson,25.0,46,49.0,68.0
2906,John Turner,22.0,82,32.0,76.0
2907,Stephanie Gill,19.0,30,62.0,96.0
2908,Erin Frazier PhD,25.0,79,60.0,77.0
2909,Elizabeth Rogers,20.0,36,37.0,61.0
2910,Megan Kennedy,22.0,60,60.0,44.0
2911,Rachel Clark,22.0,51,40.0,36.0
2912,Allison Beck,22.0,74,96.0,81.0
2913,Michael Williams,19.0,35,61.0,98.0
2914,William Weber,23.0,93,39.0,76.0
2915,Douglas Gardner,22.0,32,57.0,53.0
2916,Kristina Gomez,25.0,50,48.0,68.0
2917,Dr. Kelly Johnson,24.0,80,65.0,55.0
2918,Melissa Payne,18.0,42,83.0,64.0
2919,Hannah Randall,18.0,70,93.0,91.0
2920,Darren Beck,22.0,89,46.0,34.0
2921,Monica Fernandez,24.0,99,40.0,38.0
2922,Richard Hernandez,18.0,32,37.0,86.0
2923,Sharon Barr,23.0,54,77.0,76.0
2924,Amy Foster,20.0,96,63.0,71.0
2925,Christopher Cox,23.0,34,56.0,69.0
2926,Ryan Mendoza,19.0,97,48.0,63.0
2927,Erica Ward,22.0,91,40.0,91.0
2928,Erica Neal,23.0,36,30.0,79.0
2929,Reginald Ramsey,19.0,37,38.0,55.0
2930,Mark Gonzalez,25.0,87,94.0,64.0
2931,Carly Williamson,21.0,44,43.0,67.0
2932,Alicia Martin,22.0,32,61.0,99.0
2933,Michael Wolfe,22.0,94,48.0,98.0
2934,Stephanie Vaughn,22.0,46,85.0,72.0
2935,Gregory Miller,22.0,79,35.0,56.0
2936,Brittany Watts,21.0,48,66.0,33.0
2937,Candace Rhodes,22.0,68,78.0,58.0
2938,Thomas Perry,23.0,48,62.0,95.0
2939,Charles Wilson,19.0,89,74.0,80.0
2940,Mary Knapp MD,24.0,49,69.0,45.0
2941,Jason Turner,25.0,36,88.0,35.0
2942,Kathleen Potts,23.0,59,87.0,44.0
2943,Robert Alexander,25.0,71,49.0,55.0
2944,Todd Perez,20.0,62,78.0,86.0
2945,Travis Watson,19.0,97,40.0,59.0
2946,Jason Armstrong,20.0,52,94.0,81.0
2947,Holly Perez,18.0,65,72.0,43.0
2948,Donald Phelps Jr.,23.0,53,36.0,35.0
2949,Janet Robinson,19.0,58,45.0,95.0
2950,Alicia Williams MD,20.0,40,88.0,62.0
2951,Susan Peterson,25.0,93,96.0,72.0
2952,Nancy Jones,22.0,71,65.0,90.0
2953,Jeffrey Hooper,25.0,67,82.0,56.0
2954,Christopher Jones,24.0,83,79.0,39.0
2955,Mrs. Meagan Watson PhD,18.0,61,37.0,70.0
2956,Leslie Cain,20.0,58,55.0,99.0
2957,Elizabeth Jones,22.0,84,67.0,44.0
2958,Julie Adams,25.0,62,89.0,34.0
2959,Patrick Ellis,25.0,75,33.0,95.0
2960,Janet Gallagher,25.0,88,59.0,50.0
2961,Christine Smith,21.0,90,85.0,100.0
2962,Daniel Ramos,24.0,33,51.0,43.0
2963,Julie Lamb,25.0,69,35.0,61.0
2964,William Quinn,25.0,78,84.0,33.0
2965,Danielle Mcdonald,20.0,93,99.0,47.0
2966,George King,20.0,73,61.0,51.0
2967,Patty Burton,18.0,98,74.0,100.0
2968,Jesse Wallace,18.0,88,40.0,47.0
2969,Juan White,19.0,33,54.0,98.0
2970,Ryan Mendoza,18.0,69,92.0,60.0
2971,Jessica Adams,25.0,83,63.0,33.0
2972,Ricky Collins,18.0,41,96.0,50.0
2973,Jacob Allen,23.0,82,80.0,54.0
2974,Craig Herring,20.0,71,62.0,75.0
2975,William Olsen,23.0,30,74.0,47.0
2976,Brittany Reeves,21.0,31,94.0,31.0
2977,Kevin Hill,19.0,56,74.0,66.0
2978,Jessica Rodriguez,18.0,75,35.0,77.0
2979,Samantha Quinn,22.0,87,43.0,83.0
2980,Gregory Mcclure,22.0,96,76.0,74.0
2981,Anne Sullivan,23.0,39,75.0,34.0
2982,Heather Lopez,24.0,81,68.0,40.0
2983,Martin Harrison,22.0,33,96.0,39.0
2984,Caitlin Hull,19.0,91,41.0,94.0
2985,Danielle York,24.0,84,41.0,85.0
2986,Sarah Jones,20.0,65,34.0,76.0
2987,Roger Rice,22.0,92,95.0,80.0
2988,Robert Martin,25.0,66,39.0,95.0
2989,Samantha Smith,22.0,62,70.0,81.0
2990,Sara Day,22.0,95,37.0,99.0
2991,Nichole Morales,24.0,55,40.0,91.0
2992,Carrie Jensen,20.0,70,58.0,91.0
2993,Richard Diaz,18.0,44,40.0,82.0
2994,Robert Griffin,21.0,78,75.0,76.0
2995,Betty Liu,23.0,85,60.0,53.0
2996,Ronald Baldwin,21.0,52,98.0,69.0
2997,Randy Decker,21.0,31,88.0,51.0
2998,Cameron Blair,23.0,63,38.0,55.0
2999,Terri Miller,24.0,72,57.0,84.0
3000,Aaron Cunningham,20.0,53,95.0,57.0
3001,Glenn Esparza,18.0,48,54.0,74.0
3002,Timothy Miller,22.0,100,100.0,52.0
3003,Gloria Zimmerman,23.0,71,97.0,63.0
3004,Janice Lynch,24.0,94,78.0,70.0
3005,Kimberly Wallace,22.0,58,72.0,99.0
3006,Kevin Harris,20.0,88,34.0,67.0
3007,James Williams,18.0,60,71.0,81.0
3008,Abigail Solis,22.0,65,63.0,35.0
3009,Christine Todd,20.0,46,95.0,36.0
3010,John Clark,20.0,66,59.0,76.0
3011,John Stephens,24.0,94,99.0,53.0
3012,Robert Reyes,22.0,88,94.0,35.0
3013,Teresa Neal,24.0,90,77.0,100.0
3014,Dennis Johnston,18.0,52,52.0,57.0
3015,Laura Martin,19.0,37,93.0,55.0
3016,Alisha Duran,19.0,73,65.0,37.0
3017,Timothy Miles,21.0,53,35.0,44.0
3018,Steve Cohen Jr.,20.0,33,50.0,63.0
3019,Jessica Johnson,22.0,99,82.0,45.0
3020,Angela Lawson,20.0,32,66.0,36.0
3021,Cynthia Payne,22.0,44,60.0,89.0
3022,Randy Page,22.0,42,57.0,52.0
3023,Heather Smith,21.0,48,83.0,84.0
3024,Jeremy Castillo,21.0,85,81.0,87.0
3025,Andrea Whitehead,22.0,78,39.0,94.0
3026,Bryan Parks,21.0,91,76.0,44.0
3027,Stephen Gordon,23.0,35,50.0,63.0
3028,Tyler Sullivan,21.0,80,52.0,100.0
3029,Michael Craig,22.0,64,91.0,96.0
3030,Jessica Smith,21.0,59,52.0,44.0
3031,Richard Spence,19.0,59,75.0,43.0
3032,Steven Wallace,20.0,96,35.0,71.0
3033,Kimberly Joseph,25.0,47,70.0,84.0
3034,Crystal Williams,21.0,99,46.0,95.0
3035,Mark Stuart,22.0,94,63.0,77.0
3036,Jennifer Ramirez,22.0,32,79.0,61.0
3037,Nathan Juarez,22.0,74,94.0,63.0
3038,Matthew Gardner,22.0,41,81.0,78.0
3039,David Johnson,24.0,32,47.0,61.0
3040,Christopher Garcia,19.0,32,100.0,89.0
3041,Morgan Yu,19.0,73,72.0,33.0
3042,Miguel Nelson,20.0,73,54.0,33.0
3043,David Mckenzie,18.0,58,89.0,44.0
3044,Eileen Mcintyre,23.0,57,69.0,37.0
3045,John Blackburn,19.0,58,91.0,57.0
3046,Jodi Flores,22.0,74,86.0,46.0
3047,Brian Wong,21.0,70,91.0,68.0
3048,Luis Mendez,18.0,99,43.0,90.0
3049,Jesse Brown,18.0,95,32.0,68.0
3050,Andrew Carter,24.0,40,94.0,79.0
3051,Patricia Jackson,20.0,85,70.0,33.0
3052,Jonathan Crawford,22.0,47,69.0,93.0
3053,Roy Hooper,23.0,62,58.0,37.0
3054,Donna Gonzalez,25.0,55,61.0,66.0
3055,Tammie Henson,19.0,45,51.0,82.0
3056,Maria Rodriguez,23.0,75,53.0,99.0
3057,Louis Gould,21.0,32,39.0,90.0
3058,Caitlin Bender,24.0,97,86.0,74.0
3059,Tristan Harvey,23.0,92,41.0,94.0
3060,William Nixon,25.0,32,88.0,97.0
3061,Valerie Bell,21.0,54,78.0,40.0
3062,Joshua Woodard,19.0,89,58.0,78.0
3063,Diana Villegas,21.0,71,42.0,46.0
3064,Patrick Marquez,22.0,42,64.0,35.0
3065,Jerry Thompson,25.0,72,93.0,81.0
3066,Kelly Evans,25.0,73,47.0,77.0
3067,Janet Barnes,22.0,52,87.0,42.0
3068,Christine Estrada,22.0,100,70.0,68.0
3069,Jasmine Smith,18.0,69,30.0,83.0
3070,April Ochoa,25.0,93,74.0,52.0
3071,Kristy Chandler,25.0,64,65.0,65.0
3072,Renee Pratt,25.0,89,80.0,59.0
3073,Theresa Munoz,20.0,60,69.0,56.0
3074,Carly Barker MD,21.0,72,44.0,80.0
3075,Sheila Kline,19.0,59,85.0,63.0
3076,Lauren Young,21.0,31,86.0,88.0
3077,Gabriella Wilson,21.0,66,93.0,97.0
3078,Holly Cook,23.0,89,61.0,96.0
3079,Amber Adams,18.0,85,58.0,48.0
3080,Emily May,22.0,70,64.0,63.0
3081,Morgan Bishop,19.0,75,84.0,62.0
