Nombre,Edad,Notas_Matematicas,Notas_Ingles,Notas_Computacion
Alyssa Cooper,25.0,36,72.0,88.0
Cheyenne Fowler DVM,25.0,81,88.0,94.0
Joshua Peters,18.0,68,69.0,84.0
Sydney Donaldson,22.0,50,39.0,78.0
Jacqueline Hunt,23.0,58,74.0,38.0
Gail Thomas,25.0,87,72.0,43.0
Jessica Bender,18.0,64,93.0,61.0
Theodore Myers,20.0,94,90.0,98.0
Angela Horton,23.0,33,79.0,46.0
Christy Wiggins,20.0,36,36.0,73.0
Christine Conway,20.0,45,38.0,54.0
Jennifer Gomez,20.0,82,46.0,31.0
Whitney Ellis,22.0,81,72.0,39.0
Kristin Ramirez,18.0,47,99.0,90.0
Scott Rivera,19.0,46,71.0,52.0
Mr. Robert Goodman,19.0,48,86.0,99.0
Kristina Crane,23.0,88,36.0,46.0
Andrea Mendoza,22.0,43,82.0,63.0
Travis Mclaughlin,18.0,52,88.0,48.0
Jeffrey Perry,18.0,36,68.0,72.0
Emily Newman,19.0,86,31.0,35.0
Charles Jackson,20.0,53,98.0,43.0
Steven Jensen,18.0,77,41.0,31.0
James Clements,24.0,94,70.0,34.0
Kevin Powell,19.0,59,67.0,38.0
Marvin Delgado DDS,25.0,96,46.0,76.0
Mary Campbell,24.0,32,88.0,77.0
Carla Davidson,21.0,54,51.0,55.0
Scott Johnson,21.0,42,65.0,89.0
Carrie Key,21.0,72,64.0,100.0
Ian Carter,18.0,56,93.0,75.0
Amber Chapman,20.0,58,97.0,99.0
Angela Taylor,23.0,88,67.0,67.0
David Singleton,20.0,90,50.0,88.0
Jason Sheppard,25.0,34,46.0,81.0
Michael Mcmillan,22.0,49,87.0,70.0
Jason Juarez,22.0,34,91.0,93.0
Christopher Wilson,22.0,76,37.0,96.0
Kathryn Fuentes,23.0,64,90.0,71.0
Rose Atkinson,19.0,47,38.0,65.0
Jennifer Ramirez,24.0,96,40.0,49.0
Mr. Jimmy Cruz,24.0,63,62.0,62.0
James Baker,24.0,92,80.0,53.0
Michael Mccarty,22.0,72,57.0,64.0
Kathleen Tucker,23.0,48,52.0,89.0
Stephanie Costa,21.0,90,70.0,83.0
Tiffany Glass,19.0,54,68.0,74.0
Elijah Reyes,18.0,54,83.0,57.0
Tammy Vega,20.0,100,59.0,91.0
Karen Torres,19.0,96,58.0,79.0
Jessica Mcpherson,18.0,65,45.0,91.0
Hailey Tate,23.0,98,41.0,55.0
Dr. Kristina Gordon MD,21.0,45,35.0,48.0
Colleen Little,18.0,98,34.0,42.0
Christopher Lee,19.0,96,69.0,97.0
Jennifer Marshall,22.0,48,70.0,68.0
Thomas Khan,23.0,42,62.0,41.0
Brad Russell,21.0,61,71.0,79.0
Christine Davis,20.0,49,39.0,93.0
Melissa Webb,24.0,55,96.0,87.0
Clayton Rodriguez,24.0,97,92.0,31.0
Anita Copeland,25.0,83,38.0,65.0
Charles Curry,24.0,45,92.0,95.0
Hannah Snyder,19.0,85,81.0,58.0
Samantha Eaton,23.0,98,95.0,41.0
Allison Gilbert,22.0,64,81.0,70.0
Austin Ruiz,20.0,93,34.0,95.0
Amanda Horn,25.0,95,81.0,69.0
Jonathan Austin,18.0,92,55.0,68.0
Jerry Moody,21.0,60,50.0,74.0
Robert Villarreal,22.0,47,45.0,84.0
Amy Berger,18.0,34,41.0,61.0
Jared Thomas,20.0,69,95.0,86.0
Elizabeth Smith,25.0,35,80.0,81.0
Steven Barnett,20.0,72,50.0,96.0
Christopher Smith,24.0,79,84.0,92.0
Robin Snyder,20.0,86,67.0,64.0
Sandra French,23.0,32,79.0,54.0
Christopher Hill,23.0,31,70.0,85.0
Kathleen Cunningham,22.0,60,71.0,49.0
Amanda Maynard,21.0,62,86.0,32.0
David Vargas,21.0,82,43.0,49.0
Kimberly Russell,22.0,98,49.0,100.0
Cindy Wilson,22.0,47,62.0,59.0
Kevin Hayes,25.0,42,91.0,38.0
Heidi Watson,20.0,31,89.0,48.0
Kyle Smith,19.0,90,49.0,54.0
Jamie Calderon,19.0,63,76.0,56.0
Judith Kelley PhD,21.0,44,100.0,50.0
Michael Pierce,25.0,96,62.0,65.0
Melissa Gray,20.0,92,98.0,55.0
Phyllis Hughes,25.0,90,92.0,81.0
Cathy Maldonado,20.0,98,53.0,84.0
Tim Barnes,18.0,96,62.0,44.0
Susan Collins,23.0,56,47.0,39.0
Mr. Sean Chandler Jr.,20.0,92,95.0,47.0
Aaron Allen,19.0,76,96.0,78.0
Jeffrey Weaver,18.0,90,36.0,50.0
Danielle Sanchez,21.0,52,65.0,35.0
Frank Vincent,18.0,30,92.0,87.0
Lisa Hamilton,21.0,55,67.0,94.0
Eileen Gibson,25.0,84,43.0,59.0
Michael Frederick,19.0,43,43.0,100.0
Darrell Patton,22.0,68,93.0,100.0
Caleb Robertson,19.0,97,78.0,55.0
Tina Nguyen,23.0,72,57.0,98.0
Edward Cantrell,19.0,41,75.0,76.0
James Freeman,21.0,89,45.0,71.0
Samantha Mccarty,24.0,42,69.0,60.0
Tina Harrell,19.0,93,67.0,46.0
Anna Houston,21.0,34,93.0,67.0
Paul Bernard,21.0,58,44.0,34.0
Michael Hampton,23.0,95,81.0,83.0
Sandra Smith,23.0,63,78.0,65.0
Brian Hunter,23.0,45,42.0,82.0
Jason Hansen,23.0,45,78.0,49.0
Hayley Dougherty,20.0,92,77.0,99.0
Eric Anthony,23.0,64,44.0,33.0
Nicole Lopez,20.0,72,65.0,90.0
Micheal Ochoa,24.0,63,42.0,96.0
Kathryn Morris,18.0,97,50.0,43.0
Janice Walker,18.0,38,57.0,52.0
Christy Morgan,19.0,97,93.0,34.0
Sergio Walker,19.0,36,35.0,76.0
Darrell Norman,25.0,75,89.0,48.0
Albert Liu,24.0,90,74.0,49.0
Jodi Garcia,22.0,59,98.0,48.0
Catherine Salinas,24.0,39,71.0,83.0
Wendy Young MD,22.0,55,55.0,50.0
Nicholas Diaz,24.0,82,84.0,68.0
Zachary Bolton,24.0,44,99.0,33.0
Nicole Price,23.0,70,66.0,78.0
Alicia Diaz,24.0,66,37.0,80.0
Jonathan Adams,22.0,60,70.0,30.0
Mariah Brown,18.0,34,55.0,96.0
Maria Beard,21.0,93,65.0,67.0
Robin Gordon,23.0,74,45.0,68.0
Amy Little MD,21.0,89,59.0,62.0
Valerie Thornton,24.0,61,32.0,69.0
Nancy Watkins,21.0,61,100.0,65.0
Andrew Kirby,25.0,94,91.0,84.0
Diana Ruiz,23.0,80,49.0,79.0
Calvin Matthews DVM,22.0,64,97.0,66.0
Matthew Nguyen,25.0,90,54.0,89.0
Troy Morales,20.0,83,83.0,43.0
Marie Liu,20.0,98,98.0,83.0
Sabrina Jackson,19.0,73,80.0,67.0
Jacob Brown,23.0,72,65.0,58.0
Michelle Turner,20.0,44,91.0,32.0
Kelly Campbell,19.0,40,52.0,71.0
Michael Becker,20.0,46,54.0,65.0
Catherine Pearson,23.0,41,97.0,48.0
Christopher Mcdaniel,23.0,30,36.0,36.0
Maria Parker,21.0,63,88.0,97.0
Bob Wong,25.0,38,46.0,49.0
Teresa Anderson,25.0,34,53.0,48.0
Thomas Camacho,25.0,99,80.0,35.0
Katherine Le,21.0,97,89.0,47.0
Julia Barr,23.0,75,90.0,72.0
Crystal Ramos,23.0,51,39.0,41.0
Andrew Carter,20.0,92,68.0,91.0
Jimmy Meadows,19.0,64,70.0,48.0
Stephen Short,21.0,53,94.0,59.0
Julie Ferguson,24.0,100,72.0,73.0
Gregory Smith,23.0,30,76.0,35.0
William Mccullough,21.0,54,67.0,94.0
Melinda Lopez,21.0,67,87.0,89.0
Theresa Williams,19.0,35,46.0,99.0
Michael Smith,25.0,55,42.0,70.0
Susan Mcdowell,20.0,67,82.0,84.0
Tara Rodriguez,21.0,35,53.0,92.0
Amy Lopez,20.0,46,67.0,49.0
Amy Jones,25.0,94,98.0,95.0
Susan Olson,21.0,93,99.0,40.0
Gary Conley,19.0,37,32.0,35.0
Alexandra Smith,24.0,78,41.0,65.0
Nicholas Mcguire,19.0,81,62.0,85.0
James Martin,21.0,47,66.0,56.0
Jessica Jones,21.0,98,96.0,72.0
Tracy Silva,24.0,59,81.0,77.0
David Stevens,25.0,51,56.0,85.0
Kenneth Torres,25.0,72,97.0,70.0
Paul Serrano,25.0,37,94.0,99.0
Frank Graham,25.0,68,40.0,77.0
Patrick Mcgrath,19.0,42,83.0,46.0
Teresa Andersen,25.0,82,47.0,52.0
Juan Lopez,21.0,69,70.0,40.0
Allison Davis,23.0,54,79.0,81.0
Debra Winters,22.0,91,53.0,47.0
Andrew Kim,20.0,50,96.0,41.0
Alec Farrell,22.0,67,43.0,85.0
Michael Campbell,22.0,90,45.0,46.0
David Anderson,19.0,93,60.0,32.0
Jennifer Cruz,20.0,84,74.0,91.0
John Blake,19.0,64,64.0,52.0
Amy Johnson,20.0,92,53.0,53.0
Carlos Mcintosh,22.0,76,70.0,58.0
Bethany Jones,24.0,30,88.0,60.0
Aaron Ward,18.0,99,35.0,30.0
Michael Ward,24.0,40,39.0,40.0
Stephanie Smith,25.0,53,65.0,64.0
Roy Mckinney,18.0,47,35.0,96.0
Scott Taylor,22.0,83,49.0,88.0
Matthew Andrews,21.0,86,97.0,94.0
Rodney Barrera,18.0,90,86.0,48.0
Dustin Riddle,20.0,94,77.0,82.0
Sean Young,23.0,30,89.0,34.0
Brian Johnson,19.0,55,76.0,76.0
Kayla Lewis,20.0,55,91.0,64.0
Angela Jones,21.0,96,59.0,41.0
Clifford Gonzales,22.0,31,43.0,72.0
Christian Ward,25.0,76,56.0,77.0
Jill Carlson,18.0,49,49.0,72.0
Dennis Hood,25.0,31,47.0,48.0
Jill Moreno,22.0,65,34.0,96.0
William Ward,20.0,35,71.0,79.0
Dominic Gilmore,18.0,91,65.0,62.0
Sarah Nash,21.0,50,38.0,44.0
Ethan Allen,18.0,52,68.0,96.0
Christopher Ryan,19.0,61,86.0,72.0
Craig Briggs,25.0,50,32.0,96.0
Nancy Henson,22.0,93,85.0,76.0
Kristina Hanson,23.0,49,61.0,35.0
Deanna Sparks,22.0,65,35.0,34.0
Christopher Campbell,25.0,58,33.0,84.0
Donna Hernandez,19.0,95,32.0,43.0
Alfred Mays,24.0,82,31.0,97.0
Steven Burns,21.0,52,52.0,35.0
Dr. Jonathan Smith,18.0,82,98.0,82.0
Krystal Waters,24.0,59,33.0,32.0
Wendy Cook,22.0,93,60.0,96.0
Janet Walker,19.0,84,41.0,33.0
Kevin Evans,24.0,47,60.0,34.0
Dominic Sparks DVM,20.0,51,89.0,39.0
Marilyn Coleman,19.0,40,85.0,85.0
Sheila Munoz,21.0,35,34.0,39.0
Victoria Barnett,19.0,48,97.0,34.0
William Young,24.0,79,86.0,83.0
Patricia Nelson,25.0,93,38.0,100.0
Cynthia Berry,22.0,47,67.0,50.0
Richard Barnes,25.0,39,89.0,44.0
Leonard Lindsey,23.0,56,65.0,64.0
Taylor Brown,18.0,39,99.0,57.0
Veronica Franklin,23.0,70,86.0,73.0
Andrew Lara,18.0,69,66.0,51.0
Collin Acosta,25.0,91,52.0,56.0
Donald Gibson,25.0,71,61.0,68.0
Daniel Fischer,22.0,97,79.0,52.0
Shawn Estes,20.0,35,45.0,36.0
Amanda Fuller,19.0,86,51.0,98.0
Brian Ramirez,22.0,76,35.0,70.0
James Miles,22.0,75,55.0,38.0
Kim Dickerson,23.0,39,61.0,31.0
Eddie Fuller,22.0,34,99.0,82.0
Timothy Anthony,23.0,68,31.0,59.0
Keith Ward,22.0,97,69.0,41.0
Gail Zhang,22.0,81,84.0,85.0
Todd Long,25.0,95,69.0,66.0
Danielle Estrada,22.0,96,44.0,79.0
Margaret Savage DDS,19.0,31,97.0,51.0
Erica King,18.0,46,64.0,62.0
Krista Robinson,19.0,31,63.0,99.0
Mark Christensen,19.0,77,44.0,36.0
Beverly Davis,20.0,32,69.0,44.0
Gary Edwards,23.0,88,40.0,55.0
Caleb Brooks,24.0,60,78.0,62.0
John Harper,18.0,40,96.0,80.0
Brittany Stephens,23.0,31,30.0,98.0
Christina Gardner,19.0,48,49.0,94.0
Samantha Underwood,19.0,72,45.0,70.0
William Berry,20.0,81,76.0,39.0
Troy Davis,21.0,51,75.0,90.0
Autumn Chang,22.0,74,69.0,82.0
Stacy Garcia,20.0,67,46.0,34.0
Tracy Allen,25.0,57,37.0,58.0
David Moore,25.0,60,39.0,79.0
Derek Doyle,24.0,43,54.0,76.0
Michael Williams,21.0,67,89.0,97.0
Christine Stanley,25.0,43,68.0,88.0
Sara Hall,22.0,38,81.0,83.0
Nicole Howard,21.0,53,66.0,99.0
David Sanchez,20.0,54,51.0,54.0
Andrew Wood,25.0,49,32.0,36.0
Susan Brown,19.0,38,38.0,47.0
Ashley Boyd,21.0,72,65.0,91.0
Tony Mcdonald,25.0,36,84.0,39.0
Terry Contreras,23.0,98,65.0,100.0
David Stanley,20.0,39,69.0,43.0
Brittany James,19.0,64,72.0,91.0
Kathleen Johnson,24.0,30,82.0,44.0
Elizabeth Barnett,22.0,82,38.0,34.0
Donna Robertson,20.0,71,35.0,95.0
Dr. Keith Gonzalez,20.0,85,49.0,83.0
Matthew Davis,20.0,83,60.0,36.0
Daniel Riggs,18.0,78,46.0,72.0
Dennis George,19.0,49,79.0,71.0
Shane Harrison,22.0,70,39.0,33.0
Patricia Moore,23.0,97,81.0,66.0
Sandra Snyder,25.0,61,74.0,76.0
John Keller,22.0,85,68.0,71.0
Stacie Herrera,21.0,40,58.0,61.0
Alyssa Owens,22.0,70,74.0,85.0
Ashley Perkins,22.0,78,78.0,31.0
Sarah Herrera,24.0,46,39.0,71.0
Joshua Gutierrez,22.0,67,93.0,89.0
Charles Barnes,25.0,100,58.0,36.0
Ashley Spencer,22.0,46,75.0,74.0
Tiffany Taylor,25.0,100,63.0,83.0
Joshua Brooks,25.0,55,39.0,40.0
Jennifer Fisher,22.0,65,73.0,75.0
Rachel Reese,25.0,67,90.0,66.0
Dana White,21.0,62,75.0,93.0
Jesse Gomez,18.0,61,47.0,39.0
Thomas Kelley,23.0,82,98.0,54.0
Michael Jones,22.0,57,81.0,91.0
Calvin Eaton,23.0,44,95.0,93.0
Ronald Russell,24.0,63,64.0,94.0
Tonya Aguilar,22.0,73,40.0,69.0
Henry Kramer,22.0,39,100.0,79.0
Melissa Harris,19.0,91,52.0,57.0
Matthew Wiggins,19.0,85,42.0,47.0
Paul Bowen,23.0,60,52.0,51.0
Kara Wright,22.0,68,60.0,52.0
Vanessa Harrison,18.0,69,89.0,45.0
Jenny Holmes,19.0,40,72.0,76.0
Mary Lewis,18.0,62,84.0,84.0
Juan Stewart,20.0,69,80.0,59.0
Robert Jefferson,19.0,86,86.0,42.0
Michael Ramos,25.0,79,58.0,65.0
Mrs. Ann Mckee,23.0,83,62.0,77.0
Cassie Hansen,19.0,43,97.0,96.0
Heather Davis,24.0,53,66.0,63.0
Kevin Lopez,18.0,93,56.0,78.0
Amanda Bass,18.0,48,99.0,95.0
Joel Cline DDS,22.0,33,96.0,63.0
Rebecca Graves,22.0,88,72.0,71.0
Gregory Griffin,18.0,74,35.0,76.0
Sheryl Mcintosh,23.0,58,49.0,41.0
Ellen Salinas,25.0,96,50.0,55.0
Nathaniel Rivera,25.0,65,53.0,75.0
Susan Cook,18.0,48,100.0,75.0
Roy Clark,21.0,73,69.0,32.0
Timothy Marshall,19.0,94,73.0,49.0
Christopher Perry,21.0,53,41.0,78.0
Kimberly Hernandez,23.0,33,59.0,90.0
Henry Lopez,21.0,78,52.0,41.0
Laura Martin,19.0,46,70.0,38.0
Tina Ruiz,18.0,63,57.0,74.0
Christina Leonard,24.0,35,65.0,56.0
Lisa Garcia,21.0,39,76.0,55.0
Madison Cole,21.0,44,76.0,70.0
Adam Bates,18.0,69,79.0,79.0
Michelle Cox,22.0,41,66.0,64.0
Katherine Peterson,18.0,99,42.0,33.0
Jocelyn George,18.0,88,37.0,37.0
Christian Garza,20.0,54,30.0,94.0
Kyle Riley,24.0,77,85.0,92.0
Kaylee Gutierrez,18.0,32,69.0,58.0
Dr. Steven Wilkins,22.0,55,44.0,69.0
Matthew Jones,19.0,35,79.0,53.0
Patrick Wells,21.0,40,37.0,68.0
Danielle Martinez,22.0,79,59.0,100.0
Kevin Horn,25.0,90,82.0,56.0
Carol Miles,20.0,90,60.0,81.0
Christopher Morrison,19.0,75,87.0,92.0
Jason Singleton,20.0,83,73.0,35.0
William Gibson,22.0,59,71.0,95.0
Holly Brown,25.0,59,89.0,36.0
Robert Parker,25.0,47,59.0,94.0
Rodney Goodwin,,43,42.0,89.0
Alexander Robertson,20.0,64,35.0,41.0
Jimmy Sullivan,19.0,67,65.0,88.0
Emily Robinson,21.0,38,82.0,53.0
Susan Turner,24.0,89,67.0,54.0
Zachary Scott,18.0,83,68.0,88.0
Timothy Kelly,23.0,46,60.0,61.0
Susan Nguyen,20.0,41,81.0,40.0
Deborah Santiago,24.0,96,86.0,76.0
Jon Young,25.0,49,37.0,80.0
John Pennington,24.0,57,80.0,41.0
Kyle Wilson,25.0,98,30.0,77.0
Teresa Williams,25.0,39,70.0,75.0
Theresa Reynolds,21.0,64,82.0,44.0
Angela Hampton,18.0,40,65.0,94.0
Amanda Huang,22.0,64,75.0,98.0
Rachel Delgado,18.0,59,31.0,34.0
Bethany Ortiz,23.0,71,47.0,40.0
William Chandler,19.0,79,72.0,61.0
William Jenkins,24.0,43,63.0,100.0
Joseph Dunn,18.0,74,94.0,34.0
Vanessa Hill,20.0,38,63.0,66.0
Tracy Sandoval,19.0,76,81.0,77.0
Robert Villegas,24.0,36,86.0,72.0
Maria Johnson,25.0,48,31.0,79.0
Morgan Adams,23.0,89,97.0,85.0
Jennifer Chambers,23.0,86,83.0,58.0
James Johnson,25.0,88,38.0,80.0
Diane Leach DVM,19.0,55,100.0,46.0
Julie Thomas,23.0,45,80.0,50.0
Corey Hernandez,24.0,99,65.0,76.0
Paul Hughes,19.0,40,49.0,93.0
Rebecca Adams,21.0,84,38.0,96.0
Dawn Sellers,20.0,42,94.0,55.0
Scott James,18.0,91,59.0,37.0
Kristina Moore,25.0,83,55.0,49.0
Pamela Webster,23.0,50,86.0,42.0
Rickey Richards,18.0,61,73.0,89.0
Luke Griffin,20.0,67,39.0,63.0
Jacqueline Anderson,21.0,38,99.0,99.0
Caitlyn Carter,19.0,71,64.0,95.0
Jessica Hall,18.0,76,32.0,34.0
Christopher Brown,22.0,88,80.0,81.0
Monica Spears,22.0,33,87.0,84.0
Barry Smith,18.0,41,37.0,91.0
Randy Webb,25.0,34,54.0,45.0
Erica Roberts,21.0,97,35.0,72.0
Edward Thomas,18.0,58,89.0,64.0
Sarah Flores,18.0,63,34.0,76.0
Debbie Walker,20.0,75,47.0,88.0
Sandra Gutierrez,22.0,80,80.0,88.0
Dustin Williams,23.0,60,65.0,53.0
Desiree Perry,18.0,73,35.0,34.0
Laura Hardy,24.0,36,100.0,79.0
Timothy White,21.0,94,88.0,84.0
Jason Moore,18.0,79,62.0,99.0
Philip Hernandez,24.0,61,45.0,51.0
Jeffrey Garcia,22.0,93,52.0,86.0
Hector Williams,22.0,72,52.0,50.0
Travis Beard,25.0,85,49.0,91.0
David Taylor,20.0,100,65.0,69.0
Alison Bautista MD,22.0,74,61.0,43.0
Thomas Faulkner,24.0,42,58.0,95.0
Steven Pacheco,25.0,41,76.0,62.0
Ashley Carr,23.0,92,84.0,43.0
Timothy Robinson,23.0,77,36.0,66.0
Elizabeth Clark,23.0,80,100.0,59.0
Tracy Hayes,20.0,80,78.0,84.0
Patrick Alvarez,22.0,49,92.0,31.0
Christopher Carpenter,20.0,55,49.0,72.0
Bryan Ritter,24.0,92,39.0,56.0
Joshua Edwards,18.0,94,76.0,43.0
Daniel Hensley,25.0,39,87.0,49.0
Pamela Keith,25.0,89,54.0,76.0
Shawn Shaffer,21.0,88,79.0,30.0
Mary Mcguire,24.0,90,80.0,65.0
Mary Perry,21.0,74,91.0,48.0
Allen Wells,22.0,90,98.0,46.0
John Harris,22.0,60,90.0,90.0
Cathy Thomas,18.0,61,47.0,48.0
Carlos Bates,25.0,90,62.0,70.0
Pedro Delgado,20.0,72,84.0,61.0
Douglas Roberson,20.0,66,60.0,43.0
Joann Mcdonald,23.0,57,55.0,52.0
Raven Sanchez,24.0,36,51.0,40.0
Stanley Adams,22.0,82,94.0,54.0
Tanya Hayes,19.0,70,55.0,31.0
Randy Rosario,18.0,84,42.0,65.0
Laura Banks,22.0,45,97.0,56.0
Courtney Rich,22.0,32,60.0,51.0
Misty Ross,22.0,98,41.0,72.0
Melissa Ross,19.0,84,47.0,67.0
Stephanie Tucker,21.0,59,79.0,86.0
Travis Wilson,23.0,59,43.0,90.0
Rita Jones,22.0,64,94.0,30.0
Scott Hooper,18.0,99,71.0,59.0
Erin Jackson,24.0,59,78.0,49.0
Cheryl Osborne,20.0,73,36.0,73.0
Darlene Garcia,25.0,69,85.0,60.0
Joseph Williams,24.0,75,62.0,61.0
Fernando Weaver,18.0,94,42.0,88.0
Katrina Hill,24.0,92,79.0,76.0
Nathan Lee,19.0,79,43.0,66.0
Jenna Whitney,18.0,31,88.0,39.0
Joseph Tran,20.0,88,54.0,52.0
Frank Williams,18.0,53,75.0,79.0
Kelsey Grant,20.0,39,66.0,76.0
Brittany Morales,22.0,81,32.0,49.0
Angel Collins,24.0,96,89.0,60.0
Ruben James,23.0,94,77.0,67.0
Brian Watts,18.0,31,98.0,46.0
Elizabeth Galloway,23.0,42,51.0,45.0
Amy Medina,21.0,38,50.0,44.0
William Becker,23.0,70,67.0,30.0
Patrick Gardner,25.0,67,95.0,66.0
Michael Miller,18.0,58,47.0,72.0
Nathan Townsend,21.0,63,89.0,87.0
Debra Young,22.0,79,71.0,66.0
Lindsey Smith,23.0,72,88.0,39.0
Amy Johnson,19.0,99,71.0,66.0
Tyler Campbell,19.0,85,89.0,92.0
Krystal Warren,20.0,74,38.0,38.0
James Dean,22.0,93,94.0,42.0
Dawn Turner,23.0,63,79.0,33.0
Melanie Chapman,25.0,91,96.0,80.0
Sandra Bailey,20.0,71,46.0,40.0
Shawna Buck,23.0,61,65.0,96.0
Laura Brooks,25.0,85,33.0,54.0
James Jones,19.0,42,56.0,72.0
Francis Evans,24.0,55,84.0,31.0
Victor Morris,25.0,74,52.0,39.0
Kevin Anderson,20.0,66,63.0,64.0
Sara Barnes,22.0,32,83.0,75.0
Peter Reed,19.0,55,59.0,84.0
Arthur Flores,21.0,90,99.0,87.0
Kyle Frank,25.0,56,87.0,99.0
Kelsey Johnston,23.0,38,41.0,95.0
Charlene Walton,22.0,77,88.0,35.0
David Nelson,18.0,73,40.0,84.0
Mallory Campbell,24.0,55,65.0,43.0
Robert Reyes,19.0,80,60.0,81.0
Javier Hall,18.0,61,51.0,73.0
Douglas Barber,22.0,72,84.0,54.0
Jason Harris,20.0,68,35.0,31.0
Mark Montoya,21.0,32,48.0,83.0
Anthony James,23.0,31,38.0,39.0
Matthew Green,23.0,61,67.0,51.0
Jacob Henderson,20.0,58,40.0,42.0
Sherry Hill,24.0,75,58.0,76.0
Dr. Garrett Buchanan,20.0,71,73.0,60.0
Robert Reed,24.0,31,63.0,34.0
Connor Klein,20.0,89,32.0,56.0
Benjamin Haynes,18.0,77,43.0,39.0
Ricardo Castro,20.0,100,43.0,92.0
Sarah Walls,25.0,74,57.0,89.0
Jonathan Webb,22.0,50,80.0,33.0
Ralph Greer,24.0,100,37.0,57.0
Dr. Crystal Jones,21.0,51,77.0,99.0
Matthew Jimenez MD,24.0,39,89.0,86.0
Chris Hunt,21.0,46,51.0,31.0
William Garcia,22.0,55,98.0,43.0
Frank Bryant,25.0,96,43.0,46.0
Marcus Floyd,21.0,64,59.0,30.0
Sarah Barnes MD,24.0,47,93.0,40.0
Ryan Austin,22.0,41,47.0,90.0
Tiffany Arnold,23.0,91,85.0,86.0
Gregory Clark,23.0,33,40.0,82.0
Christine Jackson,21.0,63,45.0,62.0
Lisa Reeves,20.0,30,51.0,96.0
Kim Kelly,19.0,89,76.0,36.0
Jonathan Campbell,20.0,60,37.0,47.0
Curtis Mclean,20.0,72,71.0,82.0
Kenneth Fisher,24.0,42,70.0,82.0
Ryan Rodgers,20.0,60,73.0,49.0
Elizabeth Malone,19.0,82,39.0,35.0
Sydney Parks,22.0,62,41.0,62.0
Shannon Stewart,21.0,32,54.0,55.0
Brandon Johnson,24.0,82,42.0,80.0
Jill Ortiz,18.0,44,56.0,52.0
Mrs. Alexandra Byrd,23.0,42,66.0,87.0
James Riley,23.0,52,91.0,90.0
Samantha Watson,19.0,75,97.0,81.0
Ashley Schneider,21.0,77,67.0,79.0
Mr. Joseph Thompson,23.0,98,54.0,73.0
Valerie Mercer,18.0,50,32.0,38.0
Dawn Turner,25.0,61,55.0,77.0
Crystal Blair,20.0,40,40.0,96.0
Sherry Hanson,23.0,95,59.0,62.0
Taylor Meadows,18.0,37,99.0,99.0
Michael Hubbard,24.0,41,78.0,98.0
Danielle Shelton,21.0,41,90.0,77.0
Tina Taylor,18.0,69,31.0,48.0
Thomas Davis,18.0,64,38.0,92.0
Jesus Walker,19.0,82,38.0,84.0
Jacqueline Mckinney,24.0,60,68.0,100.0
Jessica Malone,25.0,40,87.0,63.0
Kathy Thompson,23.0,51,60.0,97.0
Lisa Rasmussen,25.0,35,54.0,62.0
Monica Evans,25.0,75,73.0,73.0
Eric Owen,22.0,47,31.0,47.0
Caroline Cochran,18.0,68,85.0,80.0
William Jordan,18.0,56,41.0,100.0
Derek Dyer,20.0,59,94.0,51.0
Joseph Jackson,21.0,58,41.0,92.0
Gail Gray,21.0,54,54.0,63.0
Veronica Beard,24.0,86,32.0,52.0
Regina Reynolds,24.0,95,43.0,68.0
Johnny Walter,18.0,52,77.0,57.0
Brian Ibarra,18.0,49,66.0,94.0
Michael Ortiz,20.0,74,31.0,55.0
Autumn Richardson,18.0,57,30.0,83.0
Teresa Manning,21.0,66,87.0,55.0
Thomas Wade,21.0,68,79.0,93.0
Daniel Ward,23.0,69,33.0,85.0
Jacqueline Roberts,20.0,39,40.0,41.0
Stephanie Daniels,25.0,34,59.0,30.0
Francisco Dean,19.0,76,85.0,35.0
Nicole Lewis,24.0,74,80.0,32.0
Holly Chavez,21.0,69,64.0,84.0
Emily Nichols,25.0,76,84.0,64.0
Haley Fleming,18.0,73,99.0,58.0
Amanda Hendricks,25.0,90,90.0,65.0
Jordan Holmes,20.0,40,75.0,57.0
Jennifer Rodriguez,24.0,91,78.0,86.0
Robert Perry,19.0,62,62.0,67.0
Meagan Williams,19.0,54,75.0,55.0
Edward Campbell,25.0,98,72.0,62.0
Amanda Rodriguez,19.0,73,75.0,34.0
Christine Long,25.0,69,70.0,91.0
John Martinez,20.0,38,77.0,41.0
Madeline Montgomery,20.0,46,85.0,30.0
Ronnie Daniels,23.0,57,78.0,78.0
Rebecca Carey,18.0,57,61.0,30.0
Patricia Stevens,23.0,59,30.0,31.0
Kelly Moore,25.0,51,78.0,100.0
Vicki Green,23.0,39,61.0,58.0
Steven Sampson,24.0,74,89.0,79.0
James Berry,21.0,98,34.0,75.0
Tammy Martinez,24.0,65,84.0,97.0
Allison Erickson,19.0,44,44.0,69.0
Andrew Garrison,19.0,86,72.0,84.0
Robin Stout,20.0,30,63.0,50.0
Mr. David Wolf,22.0,99,87.0,83.0
Kathleen Powell,23.0,91,52.0,33.0
Robert Brown,23.0,57,47.0,75.0
Dr. Anna Morris,20.0,53,83.0,97.0
Kenneth Baker,20.0,87,89.0,54.0
Mitchell Petersen,19.0,60,50.0,83.0
Steven Maddox,18.0,62,47.0,97.0
Sabrina Hamilton,20.0,47,76.0,34.0
Robert Gamble,19.0,62,93.0,34.0
Tammy Warren,24.0,82,96.0,63.0
